Date,Timestamp,,Timestamp,Phase 1,Phase 2,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances
07/07/2020,14:03:58,07/07/2020 14:03:58,1594130638.00,7.17,0.54,7.71,240,1851.47,-2.67,Air conditioner-York
07/07/2020,14:04:00,07/07/2020 14:04:00,1594130640.00,7.16,0.55,7.70,240,1848.80,2.20,Air conditioner-York
07/07/2020,14:04:01,07/07/2020 14:04:01,1594130641.00,7.15,0.56,7.71,240,1851.00,1.58,Air conditioner-York
07/07/2020,14:04:02,07/07/2020 14:04:02,1594130642.00,7.17,0.55,7.72,240,1852.57,4.06,Air conditioner-York
07/07/2020,14:04:04,07/07/2020 14:04:04,1594130644.00,7.19,0.55,7.74,240,1856.64,7.21,Air conditioner-York
07/07/2020,14:04:05,07/07/2020 14:04:05,1594130645.00,7.22,0.54,7.77,240,1863.84,9.73,Air conditioner-York
07/07/2020,14:04:06,07/07/2020 14:04:06,1594130646.00,7.25,0.56,7.81,240,1873.57,4.96,Air conditioner-York
07/07/2020,14:04:08,07/07/2020 14:04:08,1594130648.00,7.27,0.55,7.83,240,1878.53,-12.47,Air conditioner-York
07/07/2020,14:04:09,07/07/2020 14:04:09,1594130649.00,7.23,0.54,7.78,240,1866.05,0.90,Air conditioner-York
07/07/2020,14:04:10,07/07/2020 14:04:10,1594130650.00,7.23,0.55,7.78,240,1866.96,-1.35,Air conditioner-York
07/07/2020,14:04:12,07/07/2020 14:04:12,1594130652.00,7.22,0.55,7.77,240,1865.61,0.92,Air conditioner-York
07/07/2020,14:04:13,07/07/2020 14:04:13,1594130653.00,7.22,0.56,7.78,240,1866.52,7.82,Air conditioner-York
07/07/2020,14:04:14,07/07/2020 14:04:14,1594130654.00,7.26,0.55,7.81,240,1874.34,10.94,Air conditioner-York
07/07/2020,14:04:16,07/07/2020 14:04:16,1594130656.00,7.30,0.56,7.86,240,1885.28,8.61,Air conditioner-York
07/07/2020,14:04:17,07/07/2020 14:04:17,1594130657.00,7.35,0.55,7.89,240,1893.89,-14.37,Air conditioner-York
07/07/2020,14:04:18,07/07/2020 14:04:18,1594130658.00,7.29,0.54,7.83,240,1879.51,-0.21,Air conditioner-York
07/07/2020,14:04:20,07/07/2020 14:04:20,1594130660.00,7.28,0.55,7.83,240,1879.31,-8.55,Air conditioner-York
07/07/2020,14:04:21,07/07/2020 14:04:21,1594130661.00,7.25,0.55,7.79,240,1870.75,-1.49,Air conditioner-York
07/07/2020,14:04:22,07/07/2020 14:04:22,1594130662.00,7.24,0.55,7.79,240,1869.26,2.37,Air conditioner-York
07/07/2020,14:04:23,07/07/2020 14:04:23,1594130663.00,7.25,0.55,7.80,240,1871.63,3.92,Air conditioner-York
07/07/2020,14:04:25,07/07/2020 14:04:25,1594130665.00,7.26,0.56,7.81,240,1875.56,8.38,Air conditioner-York
07/07/2020,14:04:26,07/07/2020 14:04:26,1594130666.00,7.30,0.55,7.85,240,1883.94,0.02,Air conditioner-York
07/07/2020,14:04:27,07/07/2020 14:04:27,1594130667.00,7.30,0.55,7.85,240,1883.95,-5.85,Air conditioner-York
07/07/2020,14:04:29,07/07/2020 14:04:29,1594130669.00,7.28,0.55,7.83,240,1878.10,-7.58,Air conditioner-York
07/07/2020,14:04:30,07/07/2020 14:04:30,1594130670.00,7.24,0.55,7.79,240,1870.52,1.50,Air conditioner-York
07/07/2020,14:04:31,07/07/2020 14:04:31,1594130671.00,7.25,0.55,7.80,240,1872.02,-5.32,Air conditioner-York
07/07/2020,14:04:33,07/07/2020 14:04:33,1594130673.00,7.23,0.54,7.78,240,1866.71,2.20,Air conditioner-York
07/07/2020,14:04:34,07/07/2020 14:04:34,1594130674.00,7.23,0.56,7.79,240,1868.91,1.15,Air conditioner-York
07/07/2020,14:04:35,07/07/2020 14:04:35,1594130675.00,7.24,0.56,7.79,240,1870.06,0.67,Air conditioner-York
07/07/2020,14:04:37,07/07/2020 14:04:37,1594130677.00,7.23,0.56,7.79,240,1870.73,0.76,Air conditioner-York
07/07/2020,14:04:38,07/07/2020 14:04:38,1594130678.00,7.25,0.55,7.80,240,1871.49,1.18,Air conditioner-York
07/07/2020,14:04:39,07/07/2020 14:04:39,1594130679.00,7.25,0.56,7.80,240,1872.68,7.40,Air conditioner-York
07/07/2020,14:04:41,07/07/2020 14:04:41,1594130681.00,7.28,0.56,7.83,240,1880.07,0.79,Air conditioner-York
07/07/2020,14:04:42,07/07/2020 14:04:42,1594130682.00,7.28,0.55,7.84,240,1880.86,0.78,Air conditioner-York
07/07/2020,14:04:43,07/07/2020 14:04:43,1594130683.00,7.30,0.54,7.84,240,1881.64,-1.11,Air conditioner-York
07/07/2020,14:04:44,07/07/2020 14:04:44,1594130684.00,7.28,0.56,7.84,240,1880.54,12.59,Air conditioner-York
07/07/2020,14:04:46,07/07/2020 14:04:46,1594130686.00,7.33,0.56,7.89,240,1893.12,-5.88,Air conditioner-York
07/07/2020,14:04:47,07/07/2020 14:04:47,1594130687.00,7.31,0.55,7.86,240,1887.24,4.80,Air conditioner-York
07/07/2020,14:04:48,07/07/2020 14:04:48,1594130688.00,7.33,0.55,7.88,240,1892.04,0.32,Air conditioner-York
07/07/2020,14:04:50,07/07/2020 14:04:50,1594130690.00,7.32,0.56,7.88,240,1892.36,5.25,Air conditioner-York
07/07/2020,14:04:51,07/07/2020 14:04:51,1594130691.00,7.35,0.56,7.91,240,1897.61,-7.17,Air conditioner-York
07/07/2020,14:04:52,07/07/2020 14:04:52,1594130692.00,7.34,0.54,7.88,240,1890.44,2.72,Air conditioner-York
07/07/2020,14:04:54,07/07/2020 14:04:54,1594130694.00,7.34,0.55,7.89,240,1893.16,1.07,Air conditioner-York
07/07/2020,14:04:55,07/07/2020 14:04:55,1594130695.00,7.34,0.55,7.89,240,1894.23,7.15,Air conditioner-York
07/07/2020,14:04:56,07/07/2020 14:04:56,1594130696.00,7.36,0.56,7.92,240,1901.38,-11.26,Air conditioner-York
07/07/2020,14:04:58,07/07/2020 14:04:58,1594130698.00,7.33,0.54,7.88,240,1890.12,5.32,Air conditioner-York
07/07/2020,14:04:59,07/07/2020 14:04:59,1594130699.00,7.34,0.56,7.90,240,1895.44,1.04,Air conditioner-York
07/07/2020,14:05:00,07/07/2020 14:05:00,1594130700.00,7.35,0.55,7.90,240,1896.48,-0.44,Air conditioner-York
07/07/2020,14:05:01,07/07/2020 14:05:01,1594130701.00,7.35,0.55,7.90,240,1896.04,-2.87,Air conditioner-York
07/07/2020,14:05:03,07/07/2020 14:05:03,1594130703.00,7.34,0.54,7.89,240,1893.17,3.59,Air conditioner-York
07/07/2020,14:05:04,07/07/2020 14:05:04,1594130704.00,7.35,0.55,7.90,240,1896.76,2.63,Air conditioner-York
07/07/2020,14:05:05,07/07/2020 14:05:05,1594130705.00,7.35,0.56,7.91,240,1899.40,-0.43,Air conditioner-York
07/07/2020,14:05:07,07/07/2020 14:05:07,1594130707.00,7.37,0.54,7.91,240,1898.97,-6.89,Air conditioner-York
07/07/2020,14:05:08,07/07/2020 14:05:08,1594130708.00,7.34,0.55,7.88,240,1892.08,-4.55,Air conditioner-York
07/07/2020,14:05:09,07/07/2020 14:05:09,1594130709.00,7.31,0.55,7.86,240,1887.53,-0.36,Air conditioner-York
07/07/2020,14:05:11,07/07/2020 14:05:11,1594130711.00,7.31,0.55,7.86,240,1887.17,0.16,Air conditioner-York
07/07/2020,14:05:12,07/07/2020 14:05:12,1594130712.00,7.32,0.54,7.86,240,1887.32,-8.54,Air conditioner-York
07/07/2020,14:05:13,07/07/2020 14:05:13,1594130713.00,7.28,0.55,7.83,240,1878.78,0.62,Air conditioner-York
07/07/2020,14:05:15,07/07/2020 14:05:15,1594130715.00,7.28,0.55,7.83,240,1879.40,5.13,Air conditioner-York
07/07/2020,14:05:16,07/07/2020 14:05:16,1594130716.00,7.30,0.55,7.85,240,1884.52,-3.25,Air conditioner-York
07/07/2020,14:05:17,07/07/2020 14:05:17,1594130717.00,7.29,0.55,7.84,240,1881.27,-0.45,Air conditioner-York
07/07/2020,14:05:19,07/07/2020 14:05:19,1594130719.00,7.28,0.56,7.84,240,1880.82,-0.09,Air conditioner-York
07/07/2020,14:05:20,07/07/2020 14:05:20,1594130720.00,7.27,0.56,7.84,240,1880.73,1.91,Air conditioner-York
07/07/2020,14:05:21,07/07/2020 14:05:21,1594130721.00,7.30,0.55,7.84,240,1882.64,-3.21,Air conditioner-York
07/07/2020,14:05:22,07/07/2020 14:05:22,1594130722.00,7.28,0.55,7.83,240,1879.43,0.68,Air conditioner-York
07/07/2020,14:05:24,07/07/2020 14:05:24,1594130724.00,7.28,0.55,7.83,240,1880.12,4.57,Air conditioner-York
07/07/2020,14:05:25,07/07/2020 14:05:25,1594130725.00,7.29,0.56,7.85,240,1884.68,1.49,Air conditioner-York
07/07/2020,14:05:26,07/07/2020 14:05:26,1594130726.00,7.32,0.54,7.86,240,1886.17,-0.26,Air conditioner-York
