Meter,Date,Time,,Timestamp,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances ,Mode
,02/07/2020,17:13:39,07/02/2020 17:13:39,1581095619,2.40,240,574.83,-8.25,,
,02/07/2020,17:13:40,07/02/2020 17:13:40,1581095620,2.36,240,566.58,4.71,,
,02/07/2020,17:13:42,07/02/2020 17:13:42,1581095622,2.38,240,571.29,-5.61,,
,02/07/2020,17:13:43,07/02/2020 17:13:43,1581095623,2.36,240,565.68,14.53,,
,02/07/2020,17:13:44,07/02/2020 17:13:44,1581095624,2.42,240,580.21,-6.43,,
,02/07/2020,17:13:45,07/02/2020 17:13:45,1581095625,2.39,240,573.78,-10.58,,
,02/07/2020,17:13:46,07/02/2020 17:13:46,1581095626,2.35,240,563.20,-0.57,,
,02/07/2020,17:13:48,07/02/2020 17:13:48,1581095628,2.34,240,562.63,54.31,,
,02/07/2020,17:13:49,07/02/2020 17:13:49,1581095629,2.57,240,616.94,-19.58,,
,02/07/2020,17:13:50,07/02/2020 17:13:50,1581095630,2.49,240,597.37,46.90,,
,02/07/2020,17:13:51,07/02/2020 17:13:51,1581095631,2.68,240,644.27,42.59,,
,02/07/2020,17:13:52,07/02/2020 17:13:52,1581095632,2.86,240,686.86,-79.50,,
,02/07/2020,17:13:53,07/02/2020 17:13:53,1581095633,2.53,240,607.37,-16.50,,
,02/07/2020,17:13:55,07/02/2020 17:13:55,1581095635,2.46,240,590.87,-20.99,,
,02/07/2020,17:13:56,07/02/2020 17:13:56,1581095636,2.37,240,569.88,-9.74,,
,02/07/2020,17:13:57,07/02/2020 17:13:57,1581095637,2.33,240,560.14,33.54,,
,02/07/2020,17:13:58,07/02/2020 17:13:58,1581095638,2.47,240,593.68,-22.61,,
,02/07/2020,17:13:59,07/02/2020 17:13:59,1581095639,2.38,240,571.08,-14.38,,
,02/07/2020,17:14:01,07/02/2020 17:14:01,1581095641,2.32,240,556.70,25.30,,
,02/07/2020,17:14:02,07/02/2020 17:14:02,1581095642,2.42,240,581.99,35.97,,
,02/07/2020,17:14:03,07/02/2020 17:14:03,1581095643,2.57,240,617.96,-12.02,,
,02/07/2020,17:14:04,07/02/2020 17:14:04,1581095644,2.52,240,605.94,13.45,,
,02/07/2020,17:14:05,07/02/2020 17:14:05,1581095645,2.58,240,619.39,38.19,,
,02/07/2020,17:14:07,07/02/2020 17:14:07,1581095647,2.74,240,657.58,-64.69,,
,02/07/2020,17:14:08,07/02/2020 17:14:08,1581095648,2.47,240,592.89,-16.06,,
,02/07/2020,17:14:09,07/02/2020 17:14:09,1581095649,2.40,240,576.83,-1.01,,
,02/07/2020,17:14:10,07/02/2020 17:14:10,1581095650,2.40,240,575.82,-10.63,,
,02/07/2020,17:14:11,07/02/2020 17:14:11,1581095651,2.35,240,565.19,8.93,,
,02/07/2020,17:14:13,07/02/2020 17:14:13,1581095653,2.39,240,574.12,6.85,,
,02/07/2020,17:14:14,07/02/2020 17:14:14,1581095654,2.42,240,580.97,-16.68,,
